Date,Stock,Price
2022-01-31,TSLA,312.24
2022-02-28,TSLA,290.14
2022-03-31,TSLA,359.2
2022-04-30,TSLA,290.25
2022-05-31,TSLA,252.75
2022-06-30,TSLA,224.47
2022-07-31,TSLA,297.15
2022-08-31,TSLA,275.61
2022-09-30,TSLA,265.25
2022-10-31,TSLA,227.54
2022-11-30,TSLA,194.7
2022-12-31,TSLA,121.82
2022-01-31,NFLX,427.14
2022-02-28,NFLX,394.52
2022-03-31,NFLX,374.59
2022-04-30,NFLX,190.36
2022-05-31,NFLX,197.44
2022-06-30,NFLX,174.87
2022-07-31,NFLX,224.9
2022-08-31,NFLX,223.56
2022-09-30,NFLX,235.44
2022-10-31,NFLX,291.88
2022-11-30,NFLX,305.53
2022-12-31,NFLX,291.12
